county_fips,state_po,year,democrats,green,libertarian,other,republican
5137,AR,2020,9635,117,47,994,21850
5139,AR,2020,37157,166,182,2334,61459
5141,AR,2020,13637,172,54,1244,27530
5143,AR,2020,183469,1521,1414,13537,230588
5145,AR,2020,41116,283,395,3446,114908
5147,AR,2020,8397,25,14,492,7242
5149,AR,2020,12464,92,66,1121,24585
4001,AZ,2020,101596,245,437,3505,50814
4003,AZ,2020,109545,1113,1153,7285,166908
4005,AZ,2020,187315,2478,1522,9312,131654
4007,AZ,2020,47541,497,342,2424,81610
4009,AZ,2020,20971,144,212,1348,48700
4011,AZ,2020,7111,68,70,473,11147
4012,AZ,2020,11238,91,93,738,22056
4013,AZ,2020,3839667,22465,31705,179330,4398781
4015,AZ,2020,121884,1323,1302,8167,291498
4017,AZ,2020,98975,517,727,4925,117542
4019,AZ,2020,1277963,12355,7658,46227,1028059
4021,AZ,2020,258460,904,2791,12951,358524
4023,AZ,2020,55139,217,224,1311,26856
4025,AZ,2020,213189,2733,2092,13076,382129
4027,AZ,2020,121520,495,1137,4904,147520
6001,CA,2020,2856765,32163,6295,90704,710158
6003,CA,2020,2259,29,15,129,1541
6005,CA,2020,40917,694,349,2723,64157
6007,CA,2020,257461,6234,1774,18389,282305
6009,CA,2020,51852,988,359,3946,79429
6011,CA,2020,14475,176,81,865,23215
6013,CA,2020,1815072,15685,6116,60344,833767
6015,CA,2020,23285,563,150,1971,31058
6017,CA,2020,222182,3473,1871,15043,307295
6019,CA,2020,798414,8015,4031,32539,803348
6021,CA,2020,19588,302,128,1489,36496
6023,CA,2020,214956,7725,1132,17341,129614
6025,CA,2020,146087,842,390,5251,84488
6027,CA,2020,20627,389,128,1525,27003
6029,CA,2020,549613,4548,3942,32281,806559
6031,CA,2020,81916,692,604,4592,116926
6033,CA,2020,74850,1472,374,4889,59741
6035,CA,2020,17802,370,141,1762,46529
6037,CA,2020,13624246,105391,35452,444514,5705186
6039,CA,2020,99298,1297,621,5700,144324
6041,CA,2020,624416,9013,1536,18028,174897
6043,CA,2020,20875,418,155,1557,31515
6045,CA,2020,142916,5445,591,9726,69761
6047,CA,2020,200561,1554,941,9233,183282
6049,CA,2020,6545,137,39,612,17767
6051,CA,2020,17028,272,126,861,14180
6053,CA,2020,517273,5808,1820,18829,248980
6055,CA,2020,225498,2781,914,9339,119789
6057,CA,2020,157582,3632,919,10512,155581
6059,CA,2020,3297026,32652,17325,165010,3528173
6061,CA,2020,420330,5228,3948,25592,577998
6063,CA,2020,24348,495,153,1725,36869
6065,CA,2020,1987497,15050,9970,88262,1964983
6067,CA,2020,1833289,20913,9770,83574,1296449
6069,CA,2020,72324,626,345,2852,48912
6071,CA,2020,1860059,15394,8791,88064,1688326
6073,CA,2020,3957767,41400,21386,176150,3227387
6075,CA,2020,1885533,27609,3299,53369,299324
6077,CA,2020,677144,5259,2929,27653,570463
6079,CA,2020,388119,7317,2408,23227,369476
6081,CA,2020,1322968,12028,3554,37636,444937
6083,CA,2020,600573,9603,2416,26273,400591
6085,CA,2020,2761300,23112,9131,98166,1122164
6087,CA,2020,554765,11906,1704,24297,158647
6089,CA,2020,151453,2499,1277,12845,305749
6091,CA,2020,3913,99,27,475,6825
6093,CA,2020,48368,988,318,4253,72099
6095,CA,2020,593089,4827,2475,22239,343258
6097,CA,2020,948759,15823,3418,39635,354877
6099,CA,2020,460768,4140,2494,23673,486190
6101,CA,2020,74065,730,521,4339,117188
6103,CA,2020,46610,787,403,3956,92555
6105,CA,2020,15686,446,117,1464,18556
6107,CA,2020,264576,2317,1498,13623,372068
6109,CA,2020,62094,1094,439,4068,90025
6111,CA,2020,1086437,12001,5069,48591,884828
6113,CA,2020,301185,4654,1206,12955,147053
6115,CA,2020,46950,631,510,3909,76042
8001,CO,2020,548106,4909,3731,30752,424160
8003,CO,2020,19752,288,90,1311,18235
8005,CO,2020,868491,7878,5423,44141,701073
8007,CO,2020,15326,284,120,1157,23552
8009,CO,2020,2617,50,26,336,10094
8011,CO,2020,4504,50,15,335,7277
8013,CO,2020,716220,17195,2539,27203,281241
8014,CO,2020,92877,104,772,5599,70434
8015,CO,2020,28529,505,189,1775,30731
8017,CO,2020,1040,22,6,143,5577
8019,CO,2020,17961,377,113,1182,14828
8021,CO,2020,11740,88,34,615,11324
8023,CO,2020,7245,75,15,288,3260
8025,CO,2020,2852,28,22,262,6111
8027,CO,2020,4935,105,29,412,11103
8029,CO,2020,27168,897,218,2269,63812
8031,CO,2020,1273572,12854,4870,43518,401113
8033,CO,2020,1912,74,5,219,5236
8035,CO,2020,362998,2662,3715,23941,552813
8037,CO,2020,75182,1123,377,3530,52170
8039,CO,2020,20206,323,306,2190,59646
8041,CO,2020,630116,8251,9264,53099,1002981
8043,CO,2020,37440,575,397,3324,80708
8045,CO,2020,64675,1707,424,3840,71969
8047,CO,2020,10609,293,70,757,8333
8049,CO,2020,21340,397,174,1416,25588
8051,CO,2020,30701,966,210,1815,20103
8053,CO,2020,1345,52,10,121,2060
8055,CO,2020,10809,181,71,583,10478
8057,CO,2020,1222,42,12,155,3926
8059,CO,2020,924149,11425,6394,53970,823200
8061,CO,2020,868,13,9,111,4290
8063,CO,2020,4486,60,34,483,16614
8065,CO,2020,10536,236,101,646,7260
8067,CO,2020,88892,2506,530,5218,72814
8069,CO,2020,516123,8921,4089,33461,469249
8071,CO,2020,19697,216,86,951,20108
8073,CO,2020,2990,28,26,290,10880
8075,CO,2020,14414,156,139,1259,39249
8077,CO,2020,136148,2423,1306,11258,272658
8079,CO,2020,1510,19,3,128,2126
8081,CO,2020,7567,176,97,920,27892
8083,CO,2020,25435,563,192,2043,44667
8085,CO,2020,34603,705,285,2845,77387
8087,CO,2020,20676,237,151,1464,43121
8089,CO,2020,19868,154,88,1178,28488
8091,CO,2020,9327,236,46,478,8457
8093,CO,2020,22274,460,238,1789,31716
8095,CO,2020,3278,55,24,242,10288
8097,CO,2020,40992,1054,94,1249,16187
8099,CO,2020,8319,88,39,648,20230
8101,CO,2020,227552,1725,1200,11607,194612
8103,CO,2020,3329,88,42,455,15601
8105,CO,2020,13135,190,66,871,19152
8107,CO,2020,44599,857,236,2065,31020
8109,CO,2020,9634,274,39,568,6718
8111,CO,2020,1539,60,7,113,1273
8113,CO,2020,17714,574,52,638,6378
8115,CO,2020,2213,26,8,193,5722
8117,CO,2020,54785,1191,353,2595,30743
8119,CO,2020,24033,454,267,2224,52405
8121,CO,2020,2594,55,25,299,12847
8123,CO,2020,264225,2778,2895,21332,386097
8125,CO,2020,5761,62,52,529,21345
9001,CT,2020,1399642,14345,4593,33708,1019799
9003,CT,2020,1487780,15987,5039,39245,871538
9005,CT,2020,271285,5898,1280,10465,291361
9007,CT,2020,293637,4483,1210,9025,211577
9009,CT,2020,1297019,17260,3661,34233,895072
