"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Jefferson County, TN"	"47089"	"2011"	"2011"	26420
	"Female"	"F"	"Jefferson County, TN"	"47089"	"2015"	"2015"	26951
"Total"	"Female"	"F"	"Jefferson County, TN"	"47089"			53371
	"Female"	"F"	"Johnson County, TN"	"47091"	"2011"	"2011"	8420
	"Female"	"F"	"Johnson County, TN"	"47091"	"2015"	"2015"	8218
"Total"	"Female"	"F"	"Johnson County, TN"	"47091"			16638
	"Female"	"F"	"Knox County, TN"	"47093"	"2011"	"2011"	224360
	"Female"	"F"	"Knox County, TN"	"47093"	"2015"	"2015"	231898
"Total"	"Female"	"F"	"Knox County, TN"	"47093"			456258
	"Female"	"F"	"Lake County, TN"	"47095"	"2011"	"2011"	2827
	"Female"	"F"	"Lake County, TN"	"47095"	"2015"	"2015"	2741
"Total"	"Female"	"F"	"Lake County, TN"	"47095"			5568
	"Female"	"F"	"Lauderdale County, TN"	"47097"	"2011"	"2011"	13121
	"Female"	"F"	"Lauderdale County, TN"	"47097"	"2015"	"2015"	12836
"Total"	"Female"	"F"	"Lauderdale County, TN"	"47097"			25957
	"Female"	"F"	"Lawrence County, TN"	"47099"	"2011"	"2011"	21581
	"Female"	"F"	"Lawrence County, TN"	"47099"	"2015"	"2015"	21704
"Total"	"Female"	"F"	"Lawrence County, TN"	"47099"			43285
	"Female"	"F"	"Lewis County, TN"	"47101"	"2011"	"2011"	6179
	"Female"	"F"	"Lewis County, TN"	"47101"	"2015"	"2015"	6082
"Total"	"Female"	"F"	"Lewis County, TN"	"47101"			12261
	"Female"	"F"	"Lincoln County, TN"	"47103"	"2011"	"2011"	17059
	"Female"	"F"	"Lincoln County, TN"	"47103"	"2015"	"2015"	17166
"Total"	"Female"	"F"	"Lincoln County, TN"	"47103"			34225
	"Female"	"F"	"Loudon County, TN"	"47105"	"2011"	"2011"	25041
	"Female"	"F"	"Loudon County, TN"	"47105"	"2015"	"2015"	25938
"Total"	"Female"	"F"	"Loudon County, TN"	"47105"			50979
	"Female"	"F"	"McMinn County, TN"	"47107"	"2011"	"2011"	26900
	"Female"	"F"	"McMinn County, TN"	"47107"	"2015"	"2015"	26868
"Total"	"Female"	"F"	"McMinn County, TN"	"47107"			53768
	"Female"	"F"	"McNairy County, TN"	"47109"	"2011"	"2011"	13281
	"Female"	"F"	"McNairy County, TN"	"47109"	"2015"	"2015"	13192
"Total"	"Female"	"F"	"McNairy County, TN"	"47109"			26473
	"Female"	"F"	"Macon County, TN"	"47111"	"2011"	"2011"	11479
	"Female"	"F"	"Macon County, TN"	"47111"	"2015"	"2015"	11833
"Total"	"Female"	"F"	"Macon County, TN"	"47111"			23312
	"Female"	"F"	"Madison County, TN"	"47113"	"2011"	"2011"	51534
	"Female"	"F"	"Madison County, TN"	"47113"	"2015"	"2015"	51437
"Total"	"Female"	"F"	"Madison County, TN"	"47113"			102971
	"Female"	"F"	"Marion County, TN"	"47115"	"2011"	"2011"	14272
	"Female"	"F"	"Marion County, TN"	"47115"	"2015"	"2015"	14501
"Total"	"Female"	"F"	"Marion County, TN"	"47115"			28773
	"Female"	"F"	"Marshall County, TN"	"47117"	"2011"	"2011"	15717
	"Female"	"F"	"Marshall County, TN"	"47117"	"2015"	"2015"	16116
"Total"	"Female"	"F"	"Marshall County, TN"	"47117"			31833
	"Female"	"F"	"Maury County, TN"	"47119"	"2011"	"2011"	42182
	"Female"	"F"	"Maury County, TN"	"47119"	"2015"	"2015"	45297
"Total"	"Female"	"F"	"Maury County, TN"	"47119"			87479
	"Female"	"F"	"Meigs County, TN"	"47121"	"2011"	"2011"	5898
	"Female"	"F"	"Meigs County, TN"	"47121"	"2015"	"2015"	5899
"Total"	"Female"	"F"	"Meigs County, TN"	"47121"			11797
	"Female"	"F"	"Monroe County, TN"	"47123"	"2011"	"2011"	22639
	"Female"	"F"	"Monroe County, TN"	"47123"	"2015"	"2015"	22998
"Total"	"Female"	"F"	"Monroe County, TN"	"47123"			45637
	"Female"	"F"	"Montgomery County, TN"	"47125"	"2011"	"2011"	89631
	"Female"	"F"	"Montgomery County, TN"	"47125"	"2015"	"2015"	96174
"Total"	"Female"	"F"	"Montgomery County, TN"	"47125"			185805
	"Female"	"F"	"Moore County, TN"	"47127"	"2011"	"2011"	3209
	"Female"	"F"	"Moore County, TN"	"47127"	"2015"	"2015"	3154
"Total"	"Female"	"F"	"Moore County, TN"	"47127"			6363
	"Female"	"F"	"Morgan County, TN"	"47129"	"2011"	"2011"	9866
	"Female"	"F"	"Morgan County, TN"	"47129"	"2015"	"2015"	9751
"Total"	"Female"	"F"	"Morgan County, TN"	"47129"			19617
	"Female"	"F"	"Obion County, TN"	"47131"	"2011"	"2011"	16365
	"Female"	"F"	"Obion County, TN"	"47131"	"2015"	"2015"	15731
"Total"	"Female"	"F"	"Obion County, TN"	"47131"			32096
	"Female"	"F"	"Overton County, TN"	"47133"	"2011"	"2011"	11258
	"Female"	"F"	"Overton County, TN"	"47133"	"2015"	"2015"	11191
"Total"	"Female"	"F"	"Overton County, TN"	"47133"			22449
	"Female"	"F"	"Perry County, TN"	"47135"	"2011"	"2011"	3900
	"Female"	"F"	"Perry County, TN"	"47135"	"2015"	"2015"	3884
"Total"	"Female"	"F"	"Perry County, TN"	"47135"			7784
	"Female"	"F"	"Pickett County, TN"	"47137"	"2011"	"2011"	2551
	"Female"	"F"	"Pickett County, TN"	"47137"	"2015"	"2015"	2585
"Total"	"Female"	"F"	"Pickett County, TN"	"47137"			5136
	"Female"	"F"	"Polk County, TN"	"47139"	"2011"	"2011"	8475
	"Female"	"F"	"Polk County, TN"	"47139"	"2015"	"2015"	8430
"Total"	"Female"	"F"	"Polk County, TN"	"47139"			16905
	"Female"	"F"	"Putnam County, TN"	"47141"	"2011"	"2011"	36907
	"Female"	"F"	"Putnam County, TN"	"47141"	"2015"	"2015"	37872
"Total"	"Female"	"F"	"Putnam County, TN"	"47141"			74779
	"Female"	"F"	"Rhea County, TN"	"47143"	"2011"	"2011"	16352
	"Female"	"F"	"Rhea County, TN"	"47143"	"2015"	"2015"	16433
"Total"	"Female"	"F"	"Rhea County, TN"	"47143"			32785
	"Female"	"F"	"Roane County, TN"	"47145"	"2011"	"2011"	27429
	"Female"	"F"	"Roane County, TN"	"47145"	"2015"	"2015"	26939
"Total"	"Female"	"F"	"Roane County, TN"	"47145"			54368
	"Female"	"F"	"Robertson County, TN"	"47147"	"2011"	"2011"	33929
	"Female"	"F"	"Robertson County, TN"	"47147"	"2015"	"2015"	34797
"Total"	"Female"	"F"	"Robertson County, TN"	"47147"			68726
	"Female"	"F"	"Rutherford County, TN"	"47149"	"2011"	"2011"	136311
	"Female"	"F"	"Rutherford County, TN"	"47149"	"2015"	"2015"	151030
"Total"	"Female"	"F"	"Rutherford County, TN"	"47149"			287341
	"Female"	"F"	"Scott County, TN"	"47151"	"2011"	"2011"	11233
	"Female"	"F"	"Scott County, TN"	"47151"	"2015"	"2015"	11093
"Total"	"Female"	"F"	"Scott County, TN"	"47151"			22326
	"Female"	"F"	"Sequatchie County, TN"	"47153"	"2011"	"2011"	7223
	"Female"	"F"	"Sequatchie County, TN"	"47153"	"2015"	"2015"	7433
"Total"	"Female"	"F"	"Sequatchie County, TN"	"47153"			14656
	"Female"	"F"	"Sevier County, TN"	"47155"	"2011"	"2011"	46285
	"Female"	"F"	"Sevier County, TN"	"47155"	"2015"	"2015"	48632
"Total"	"Female"	"F"	"Sevier County, TN"	"47155"			94917
	"Female"	"F"	"Shelby County, TN"	"47157"	"2011"	"2011"	488202
	"Female"	"F"	"Shelby County, TN"	"47157"	"2015"	"2015"	491020
"Total"	"Female"	"F"	"Shelby County, TN"	"47157"			979222
	"Female"	"F"	"Smith County, TN"	"47159"	"2011"	"2011"	9715
	"Female"	"F"	"Smith County, TN"	"47159"	"2015"	"2015"	9703
"Total"	"Female"	"F"	"Smith County, TN"	"47159"			19418
	"Female"	"F"	"Stewart County, TN"	"47161"	"2011"	"2011"	6634
	"Female"	"F"	"Stewart County, TN"	"47161"	"2015"	"2015"	6601
"Total"	"Female"	"F"	"Stewart County, TN"	"47161"			13235
	"Female"	"F"	"Sullivan County, TN"	"47163"	"2011"	"2011"	81029
	"Female"	"F"	"Sullivan County, TN"	"47163"	"2015"	"2015"	80425
"Total"	"Female"	"F"	"Sullivan County, TN"	"47163"			161454
	"Female"	"F"	"Sumner County, TN"	"47165"	"2011"	"2011"	83821
	"Female"	"F"	"Sumner County, TN"	"47165"	"2015"	"2015"	89488
"Total"	"Female"	"F"	"Sumner County, TN"	"47165"			173309
	"Female"	"F"	"Tipton County, TN"	"47167"	"2011"	"2011"	31206
	"Female"	"F"	"Tipton County, TN"	"47167"	"2015"	"2015"	31219
"Total"	"Female"	"F"	"Tipton County, TN"	"47167"			62425
	"Female"	"F"	"Trousdale County, TN"	"47169"	"2011"	"2011"	3943
	"Female"	"F"	"Trousdale County, TN"	"47169"	"2015"	"2015"	4078
"Total"	"Female"	"F"	"Trousdale County, TN"	"47169"			8021
	"Female"	"F"	"Unicoi County, TN"	"47171"	"2011"	"2011"	9344
	"Female"	"F"	"Unicoi County, TN"	"47171"	"2015"	"2015"	9068
"Total"	"Female"	"F"	"Unicoi County, TN"	"47171"			18412
	"Female"	"F"	"Union County, TN"	"47173"	"2011"	"2011"	9629
	"Female"	"F"	"Union County, TN"	"47173"	"2015"	"2015"	9661
"Total"	"Female"	"F"	"Union County, TN"	"47173"			19290
	"Female"	"F"	"Van Buren County, TN"	"47175"	"2011"	"2011"	2787
	"Female"	"F"	"Van Buren County, TN"	"47175"	"2015"	"2015"	2808
"Total"	"Female"	"F"	"Van Buren County, TN"	"47175"			5595
	"Female"	"F"	"Warren County, TN"	"47177"	"2011"	"2011"	20201
	"Female"	"F"	"Warren County, TN"	"47177"	"2015"	"2015"	20406
"Total"	"Female"	"F"	"Warren County, TN"	"47177"			40607
	"Female"	"F"	"Washington County, TN"	"47179"	"2011"	"2011"	63381
	"Female"	"F"	"Washington County, TN"	"47179"	"2015"	"2015"	64538
"Total"	"Female"	"F"	"Washington County, TN"	"47179"			127919
	"Female"	"F"	"Wayne County, TN"	"47181"	"2011"	"2011"	7589
	"Female"	"F"	"Wayne County, TN"	"47181"	"2015"	"2015"	7455
"Total"	"Female"	"F"	"Wayne County, TN"	"47181"			15044
	"Female"	"F"	"Weakley County, TN"	"47183"	"2011"	"2011"	17754
	"Female"	"F"	"Weakley County, TN"	"47183"	"2015"	"2015"	17351
"Total"	"Female"	"F"	"Weakley County, TN"	"47183"			35105
	"Female"	"F"	"White County, TN"	"47185"	"2011"	"2011"	13295
	"Female"	"F"	"White County, TN"	"47185"	"2015"	"2015"	13462
"Total"	"Female"	"F"	"White County, TN"	"47185"			26757
	"Female"	"F"	"Williamson County, TN"	"47187"	"2011"	"2011"	96489
	"Female"	"F"	"Williamson County, TN"	"47187"	"2015"	"2015"	108015
"Total"	"Female"	"F"	"Williamson County, TN"	"47187"			204504
	"Female"	"F"	"Wilson County, TN"	"47189"	"2011"	"2011"	59549
	"Female"	"F"	"Wilson County, TN"	"47189"	"2015"	"2015"	65439
"Total"	"Female"	"F"	"Wilson County, TN"	"47189"			124988
	"Female"	"F"	"Anderson County, TX"	"48001"	"2011"	"2011"	22808
	"Female"	"F"	"Anderson County, TX"	"48001"	"2015"	"2015"	22371
"Total"	"Female"	"F"	"Anderson County, TX"	"48001"			45179
	"Female"	"F"	"Andrews County, TX"	"48003"	"2011"	"2011"	7696
	"Female"	"F"	"Andrews County, TX"	"48003"	"2015"	"2015"	8775
"Total"	"Female"	"F"	"Andrews County, TX"	"48003"			16471
	"Female"	"F"	"Angelina County, TX"	"48005"	"2011"	"2011"	44484
	"Female"	"F"	"Angelina County, TX"	"48005"	"2015"	"2015"	44931
"Total"	"Female"	"F"	"Angelina County, TX"	"48005"			89415
	"Female"	"F"	"Aransas County, TX"	"48007"	"2011"	"2011"	11699
	"Female"	"F"	"Aransas County, TX"	"48007"	"2015"	"2015"	12425
"Total"	"Female"	"F"	"Aransas County, TX"	"48007"			24124
	"Female"	"F"	"Archer County, TX"	"48009"	"2011"	"2011"	4386
	"Female"	"F"	"Archer County, TX"	"48009"	"2015"	"2015"	4388
"Total"	"Female"	"F"	"Archer County, TX"	"48009"			8774
	"Female"	"F"	"Armstrong County, TX"	"48011"	"2011"	"2011"	987
	"Female"	"F"	"Armstrong County, TX"	"48011"	"2015"	"2015"	973
"Total"	"Female"	"F"	"Armstrong County, TX"	"48011"			1960
	"Female"	"F"	"Atascosa County, TX"	"48013"	"2011"	"2011"	22952
	"Female"	"F"	"Atascosa County, TX"	"48013"	"2015"	"2015"	24284
"Total"	"Female"	"F"	"Atascosa County, TX"	"48013"			47236
	"Female"	"F"	"Austin County, TX"	"48015"	"2011"	"2011"	14423
	"Female"	"F"	"Austin County, TX"	"48015"	"2015"	"2015"	14860
"Total"	"Female"	"F"	"Austin County, TX"	"48015"			29283
	"Female"	"F"	"Bailey County, TX"	"48017"	"2011"	"2011"	3516
	"Female"	"F"	"Bailey County, TX"	"48017"	"2015"	"2015"	3564
"Total"	"Female"	"F"	"Bailey County, TX"	"48017"			7080
	"Female"	"F"	"Bandera County, TX"	"48019"	"2011"	"2011"	10337
	"Female"	"F"	"Bandera County, TX"	"48019"	"2015"	"2015"	10660
"Total"	"Female"	"F"	"Bandera County, TX"	"48019"			20997
	"Female"	"F"	"Bastrop County, TX"	"48021"	"2011"	"2011"	36755
	"Female"	"F"	"Bastrop County, TX"	"48021"	"2015"	"2015"	39324
"Total"	"Female"	"F"	"Bastrop County, TX"	"48021"			76079
	"Female"	"F"	"Baylor County, TX"	"48023"	"2011"	"2011"	1927
	"Female"	"F"	"Baylor County, TX"	"48023"	"2015"	"2015"	1832
"Total"	"Female"	"F"	"Baylor County, TX"	"48023"			3759
	"Female"	"F"	"Bee County, TX"	"48025"	"2011"	"2011"	12941
	"Female"	"F"	"Bee County, TX"	"48025"	"2015"	"2015"	12912
"Total"	"Female"	"F"	"Bee County, TX"	"48025"			25853
	"Female"	"F"	"Bell County, TX"	"48027"	"2011"	"2011"	159544
	"Female"	"F"	"Bell County, TX"	"48027"	"2015"	"2015"	167513
"Total"	"Female"	"F"	"Bell County, TX"	"48027"			327057
	"Female"	"F"	"Bexar County, TX"	"48029"	"2011"	"2011"	894071
	"Female"	"F"	"Bexar County, TX"	"48029"	"2015"	"2015"	960551
"Total"	"Female"	"F"	"Bexar County, TX"	"48029"			1854622
	"Female"	"F"	"Blanco County, TX"	"48031"	"2011"	"2011"	5223
	"Female"	"F"	"Blanco County, TX"	"48031"	"2015"	"2015"	5490
"Total"	"Female"	"F"	"Blanco County, TX"	"48031"			10713
	"Female"	"F"	"Borden County, TX"	"48033"	"2011"	"2011"	300
	"Female"	"F"	"Borden County, TX"	"48033"	"2015"	"2015"	307
"Total"	"Female"	"F"	"Borden County, TX"	"48033"			607
	"Female"	"F"	"Bosque County, TX"	"48035"	"2011"	"2011"	9209
	"Female"	"F"	"Bosque County, TX"	"48035"	"2015"	"2015"	9054
"Total"	"Female"	"F"	"Bosque County, TX"	"48035"			18263
	"Female"	"F"	"Bowie County, TX"	"48037"	"2011"	"2011"	45916
	"Female"	"F"	"Bowie County, TX"	"48037"	"2015"	"2015"	46385
"Total"	"Female"	"F"	"Bowie County, TX"	"48037"			92301
	"Female"	"F"	"Brazoria County, TX"	"48039"	"2011"	"2011"	157223
	"Female"	"F"	"Brazoria County, TX"	"48039"	"2015"	"2015"	170348
"Total"	"Female"	"F"	"Brazoria County, TX"	"48039"			327571
	"Female"	"F"	"Brazos County, TX"	"48041"	"2011"	"2011"	97383
	"Female"	"F"	"Brazos County, TX"	"48041"	"2015"	"2015"	106617
"Total"	"Female"	"F"	"Brazos County, TX"	"48041"			204000
	"Female"	"F"	"Brewster County, TX"	"48043"	"2011"	"2011"	4652
	"Female"	"F"	"Brewster County, TX"	"48043"	"2015"	"2015"	4572
"Total"	"Female"	"F"	"Brewster County, TX"	"48043"			9224
	"Female"	"F"	"Briscoe County, TX"	"48045"	"2011"	"2011"	844
	"Female"	"F"	"Briscoe County, TX"	"48045"	"2015"	"2015"	776
"Total"	"Female"	"F"	"Briscoe County, TX"	"48045"			1620
	"Female"	"F"	"Brooks County, TX"	"48047"	"2011"	"2011"	3618
	"Female"	"F"	"Brooks County, TX"	"48047"	"2015"	"2015"	3545
"Total"	"Female"	"F"	"Brooks County, TX"	"48047"			7163
	"Female"	"F"	"Brown County, TX"	"48049"	"2011"	"2011"	19222
	"Female"	"F"	"Brown County, TX"	"48049"	"2015"	"2015"	19095
"Total"	"Female"	"F"	"Brown County, TX"	"48049"			38317
	"Female"	"F"	"Burleson County, TX"	"48051"	"2011"	"2011"	8741
	"Female"	"F"	"Burleson County, TX"	"48051"	"2015"	"2015"	8849
"Total"	"Female"	"F"	"Burleson County, TX"	"48051"			17590
	"Female"	"F"	"Burnet County, TX"	"48053"	"2011"	"2011"	22004
	"Female"	"F"	"Burnet County, TX"	"48053"	"2015"	"2015"	22847
"Total"	"Female"	"F"	"Burnet County, TX"	"48053"			44851
	"Female"	"F"	"Caldwell County, TX"	"48055"	"2011"	"2011"	19102
	"Female"	"F"	"Caldwell County, TX"	"48055"	"2015"	"2015"	20128
"Total"	"Female"	"F"	"Caldwell County, TX"	"48055"			39230
	"Female"	"F"	"Calhoun County, TX"	"48057"	"2011"	"2011"	10518
	"Female"	"F"	"Calhoun County, TX"	"48057"	"2015"	"2015"	10659
"Total"	"Female"	"F"	"Calhoun County, TX"	"48057"			21177
	"Female"	"F"	"Callahan County, TX"	"48059"	"2011"	"2011"	6917
	"Female"	"F"	"Callahan County, TX"	"48059"	"2015"	"2015"	6885
"Total"	"Female"	"F"	"Callahan County, TX"	"48059"			13802
	"Female"	"F"	"Cameron County, TX"	"48061"	"2011"	"2011"	214285
	"Female"	"F"	"Cameron County, TX"	"48061"	"2015"	"2015"	216154
"Total"	"Female"	"F"	"Cameron County, TX"	"48061"			430439
	"Female"	"F"	"Camp County, TX"	"48063"	"2011"	"2011"	6376
	"Female"	"F"	"Camp County, TX"	"48063"	"2015"	"2015"	6571
"Total"	"Female"	"F"	"Camp County, TX"	"48063"			12947
	"Female"	"F"	"Carson County, TX"	"48065"	"2011"	"2011"	3173
	"Female"	"F"	"Carson County, TX"	"48065"	"2015"	"2015"	3008
"Total"	"Female"	"F"	"Carson County, TX"	"48065"			6181
	"Female"	"F"	"Cass County, TX"	"48067"	"2011"	"2011"	15601
	"Female"	"F"	"Cass County, TX"	"48067"	"2015"	"2015"	15569
"Total"	"Female"	"F"	"Cass County, TX"	"48067"			31170
	"Female"	"F"	"Castro County, TX"	"48069"	"2011"	"2011"	3982
	"Female"	"F"	"Castro County, TX"	"48069"	"2015"	"2015"	3837
"Total"	"Female"	"F"	"Castro County, TX"	"48069"			7819
	"Female"	"F"	"Chambers County, TX"	"48071"	"2011"	"2011"	17737
	"Female"	"F"	"Chambers County, TX"	"48071"	"2015"	"2015"	19331
"Total"	"Female"	"F"	"Chambers County, TX"	"48071"			37068
	"Female"	"F"	"Cherokee County, TX"	"48073"	"2011"	"2011"	25048
	"Female"	"F"	"Cherokee County, TX"	"48073"	"2015"	"2015"	25320
"Total"	"Female"	"F"	"Cherokee County, TX"	"48073"			50368
	"Female"	"F"	"Childress County, TX"	"48075"	"2011"	"2011"	2908
	"Female"	"F"	"Childress County, TX"	"48075"	"2015"	"2015"	2890
"Total"	"Female"	"F"	"Childress County, TX"	"48075"			5798
	"Female"	"F"	"Clay County, TX"	"48077"	"2011"	"2011"	5376
	"Female"	"F"	"Clay County, TX"	"48077"	"2015"	"2015"	5185
"Total"	"Female"	"F"	"Clay County, TX"	"48077"			10561
	"Female"	"F"	"Cochran County, TX"	"48079"	"2011"	"2011"	1562
	"Female"	"F"	"Cochran County, TX"	"48079"	"2015"	"2015"	1491
"Total"	"Female"	"F"	"Cochran County, TX"	"48079"			3053
	"Female"	"F"	"Coke County, TX"	"48081"	"2011"	"2011"	1670
	"Female"	"F"	"Coke County, TX"	"48081"	"2015"	"2015"	1621
"Total"	"Female"	"F"	"Coke County, TX"	"48081"			3291
	"Female"	"F"	"Coleman County, TX"	"48083"	"2011"	"2011"	4382
	"Female"	"F"	"Coleman County, TX"	"48083"	"2015"	"2015"	4175
"Total"	"Female"	"F"	"Coleman County, TX"	"48083"			8557
	"Female"	"F"	"Collin County, TX"	"48085"	"2011"	"2011"	413418
	"Female"	"F"	"Collin County, TX"	"48085"	"2015"	"2015"	465773
"Total"	"Female"	"F"	"Collin County, TX"	"48085"			879191
	"Female"	"F"	"Collingsworth County, TX"	"48087"	"2011"	"2011"	1579
	"Female"	"F"	"Collingsworth County, TX"	"48087"	"2015"	"2015"	1566
"Total"	"Female"	"F"	"Collingsworth County, TX"	"48087"			3145
	"Female"	"F"	"Colorado County, TX"	"48089"	"2011"	"2011"	10488
	"Female"	"F"	"Colorado County, TX"	"48089"	"2015"	"2015"	10466
"Total"	"Female"	"F"	"Colorado County, TX"	"48089"			20954
	"Female"	"F"	"Comal County, TX"	"48091"	"2011"	"2011"	56994
	"Female"	"F"	"Comal County, TX"	"48091"	"2015"	"2015"	65086
"Total"	"Female"	"F"	"Comal County, TX"	"48091"			122080
	"Female"	"F"	"Comanche County, TX"	"48093"	"2011"	"2011"	7034
	"Female"	"F"	"Comanche County, TX"	"48093"	"2015"	"2015"	6800
"Total"	"Female"	"F"	"Comanche County, TX"	"48093"			13834
	"Female"	"F"	"Concho County, TX"	"48095"	"2011"	"2011"	1296
	"Female"	"F"	"Concho County, TX"	"48095"	"2015"	"2015"	1241
"Total"	"Female"	"F"	"Concho County, TX"	"48095"			2537
	"Female"	"F"	"Cooke County, TX"	"48097"	"2011"	"2011"	19496
	"Female"	"F"	"Cooke County, TX"	"48097"	"2015"	"2015"	19736
"Total"	"Female"	"F"	"Cooke County, TX"	"48097"			39232
	"Female"	"F"	"Coryell County, TX"	"48099"	"2011"	"2011"	38967
	"Female"	"F"	"Coryell County, TX"	"48099"	"2015"	"2015"	37866
"Total"	"Female"	"F"	"Coryell County, TX"	"48099"			76833
	"Female"	"F"	"Cottle County, TX"	"48101"	"2011"	"2011"	802
	"Female"	"F"	"Cottle County, TX"	"48101"	"2015"	"2015"	753
"Total"	"Female"	"F"	"Cottle County, TX"	"48101"			1555
	"Female"	"F"	"Crane County, TX"	"48103"	"2011"	"2011"	2220
	"Female"	"F"	"Crane County, TX"	"48103"	"2015"	"2015"	2486
"Total"	"Female"	"F"	"Crane County, TX"	"48103"			4706
	"Female"	"F"	"Crockett County, TX"	"48105"	"2011"	"2011"	1852
	"Female"	"F"	"Crockett County, TX"	"48105"	"2015"	"2015"	1867
"Total"	"Female"	"F"	"Crockett County, TX"	"48105"			3719
	"Female"	"F"	"Crosby County, TX"	"48107"	"2011"	"2011"	3110
	"Female"	"F"	"Crosby County, TX"	"48107"	"2015"	"2015"	2991
"Total"	"Female"	"F"	"Crosby County, TX"	"48107"			6101
	"Female"	"F"	"Culberson County, TX"	"48109"	"2011"	"2011"	1238
	"Female"	"F"	"Culberson County, TX"	"48109"	"2015"	"2015"	1153
"Total"	"Female"	"F"	"Culberson County, TX"	"48109"			2391
	"Female"	"F"	"Dallam County, TX"	"48111"	"2011"	"2011"	3303
	"Female"	"F"	"Dallam County, TX"	"48111"	"2015"	"2015"	3508
"Total"	"Female"	"F"	"Dallam County, TX"	"48111"			6811
	"Female"	"F"	"Dallas County, TX"	"48113"	"2011"	"2011"	1218714
	"Female"	"F"	"Dallas County, TX"	"48113"	"2015"	"2015"	1297691
"Total"	"Female"	"F"	"Dallas County, TX"	"48113"			2516405
	"Female"	"F"	"Dawson County, TX"	"48115"	"2011"	"2011"	5916
	"Female"	"F"	"Dawson County, TX"	"48115"	"2015"	"2015"	5905
"Total"	"Female"	"F"	"Dawson County, TX"	"48115"			11821
	"Female"	"F"	"Deaf Smith County, TX"	"48117"	"2011"	"2011"	9811
	"Female"	"F"	"Deaf Smith County, TX"	"48117"	"2015"	"2015"	9453
"Total"	"Female"	"F"	"Deaf Smith County, TX"	"48117"			19264
	"Female"	"F"	"Delta County, TX"	"48119"	"2011"	"2011"	2628
	"Female"	"F"	"Delta County, TX"	"48119"	"2015"	"2015"	2632
"Total"	"Female"	"F"	"Delta County, TX"	"48119"			5260
	"Female"	"F"	"Denton County, TX"	"48121"	"2011"	"2011"	348335
	"Female"	"F"	"Denton County, TX"	"48121"	"2015"	"2015"	396162
"Total"	"Female"	"F"	"Denton County, TX"	"48121"			744497
	"Female"	"F"	"DeWitt County, TX"	"48123"	"2011"	"2011"	9657
	"Female"	"F"	"DeWitt County, TX"	"48123"	"2015"	"2015"	9814
"Total"	"Female"	"F"	"DeWitt County, TX"	"48123"			19471
	"Female"	"F"	"Dickens County, TX"	"48125"	"2011"	"2011"	1036
	"Female"	"F"	"Dickens County, TX"	"48125"	"2015"	"2015"	951
"Total"	"Female"	"F"	"Dickens County, TX"	"48125"			1987
	"Female"	"F"	"Dimmit County, TX"	"48127"	"2011"	"2011"	5176
	"Female"	"F"	"Dimmit County, TX"	"48127"	"2015"	"2015"	5529
"Total"	"Female"	"F"	"Dimmit County, TX"	"48127"			10705
	"Female"	"F"	"Donley County, TX"	"48129"	"2011"	"2011"	1869
	"Female"	"F"	"Donley County, TX"	"48129"	"2015"	"2015"	1715
"Total"	"Female"	"F"	"Donley County, TX"	"48129"			3584
	"Female"	"F"	"Duval County, TX"	"48131"	"2011"	"2011"	5657
	"Female"	"F"	"Duval County, TX"	"48131"	"2015"	"2015"	5525
"Total"	"Female"	"F"	"Duval County, TX"	"48131"			11182
	"Female"	"F"	"Eastland County, TX"	"48133"	"2011"	"2011"	9465
	"Female"	"F"	"Eastland County, TX"	"48133"	"2015"	"2015"	9143
"Total"	"Female"	"F"	"Eastland County, TX"	"48133"			18608
	"Female"	"F"	"Ector County, TX"	"48135"	"2011"	"2011"	70363
	"Female"	"F"	"Ector County, TX"	"48135"	"2015"	"2015"	78767
"Total"	"Female"	"F"	"Ector County, TX"	"48135"			149130
	"Female"	"F"	"Edwards County, TX"	"48137"	"2011"	"2011"	993
	"Female"	"F"	"Edwards County, TX"	"48137"	"2015"	"2015"	914
"Total"	"Female"	"F"	"Edwards County, TX"	"48137"			1907
	"Female"	"F"	"Ellis County, TX"	"48139"	"2011"	"2011"	77037
	"Female"	"F"	"Ellis County, TX"	"48139"	"2015"	"2015"	82752
"Total"	"Female"	"F"	"Ellis County, TX"	"48139"			159789
	"Female"	"F"	"El Paso County, TX"	"48141"	"2011"	"2011"	421094
	"Female"	"F"	"El Paso County, TX"	"48141"	"2015"	"2015"	424529
"Total"	"Female"	"F"	"El Paso County, TX"	"48141"			845623
	"Female"	"F"	"Erath County, TX"	"48143"	"2011"	"2011"	19800
	"Female"	"F"	"Erath County, TX"	"48143"	"2015"	"2015"	20897
"Total"	"Female"	"F"	"Erath County, TX"	"48143"			40697
	"Female"	"F"	"Falls County, TX"	"48145"	"2011"	"2011"	9356
	"Female"	"F"	"Falls County, TX"	"48145"	"2015"	"2015"	9076
"Total"	"Female"	"F"	"Falls County, TX"	"48145"			18432
	"Female"	"F"	"Fannin County, TX"	"48147"	"2011"	"2011"	15923
	"Female"	"F"	"Fannin County, TX"	"48147"	"2015"	"2015"	15722
"Total"	"Female"	"F"	"Fannin County, TX"	"48147"			31645
	"Female"	"F"	"Fayette County, TX"	"48149"	"2011"	"2011"	12600
	"Female"	"F"	"Fayette County, TX"	"48149"	"2015"	"2015"	12721
"Total"	"Female"	"F"	"Fayette County, TX"	"48149"			25321
