"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
"Total"	"Female"	"F"	"Marion County, AL"	"01093"			30571
	"Female"	"F"	"Marshall County, AL"	"01095"	"2011"	"2011"	47614
	"Female"	"F"	"Marshall County, AL"	"01095"	"2015"	"2015"	48024
"Total"	"Female"	"F"	"Marshall County, AL"	"01095"			95638
	"Female"	"F"	"Mobile County, AL"	"01097"	"2011"	"2011"	214939
	"Female"	"F"	"Mobile County, AL"	"01097"	"2015"	"2015"	216441
"Total"	"Female"	"F"	"Mobile County, AL"	"01097"			431380
	"Female"	"F"	"Monroe County, AL"	"01099"	"2011"	"2011"	11826
	"Female"	"F"	"Monroe County, AL"	"01099"	"2015"	"2015"	11336
"Total"	"Female"	"F"	"Monroe County, AL"	"01099"			23162
	"Female"	"F"	"Montgomery County, AL"	"01101"	"2011"	"2011"	120305
	"Female"	"F"	"Montgomery County, AL"	"01101"	"2015"	"2015"	119621
"Total"	"Female"	"F"	"Montgomery County, AL"	"01101"			239926
	"Female"	"F"	"Morgan County, AL"	"01103"	"2011"	"2011"	60869
	"Female"	"F"	"Morgan County, AL"	"01103"	"2015"	"2015"	60488
"Total"	"Female"	"F"	"Morgan County, AL"	"01103"			121357
	"Female"	"F"	"Perry County, AL"	"01105"	"2011"	"2011"	5537
	"Female"	"F"	"Perry County, AL"	"01105"	"2015"	"2015"	5090
"Total"	"Female"	"F"	"Perry County, AL"	"01105"			10627
	"Female"	"F"	"Pickens County, AL"	"01107"	"2011"	"2011"	10091
	"Female"	"F"	"Pickens County, AL"	"01107"	"2015"	"2015"	10300
"Total"	"Female"	"F"	"Pickens County, AL"	"01107"			20391
	"Female"	"F"	"Pike County, AL"	"01109"	"2011"	"2011"	17247
	"Female"	"F"	"Pike County, AL"	"01109"	"2015"	"2015"	17416
"Total"	"Female"	"F"	"Pike County, AL"	"01109"			34663
	"Female"	"F"	"Randolph County, AL"	"01111"	"2011"	"2011"	11709
	"Female"	"F"	"Randolph County, AL"	"01111"	"2015"	"2015"	11666
"Total"	"Female"	"F"	"Randolph County, AL"	"01111"			23375
	"Female"	"F"	"Russell County, AL"	"01113"	"2011"	"2011"	28370
	"Female"	"F"	"Russell County, AL"	"01113"	"2015"	"2015"	30199
"Total"	"Female"	"F"	"Russell County, AL"	"01113"			58569
	"Female"	"F"	"St. Clair County, AL"	"01115"	"2011"	"2011"	41962
	"Female"	"F"	"St. Clair County, AL"	"01115"	"2015"	"2015"	43281
"Total"	"Female"	"F"	"St. Clair County, AL"	"01115"			85243
	"Female"	"F"	"Shelby County, AL"	"01117"	"2011"	"2011"	101234
	"Female"	"F"	"Shelby County, AL"	"01117"	"2015"	"2015"	107593
"Total"	"Female"	"F"	"Shelby County, AL"	"01117"			208827
	"Female"	"F"	"Sumter County, AL"	"01119"	"2011"	"2011"	7367
	"Female"	"F"	"Sumter County, AL"	"01119"	"2015"	"2015"	7195
"Total"	"Female"	"F"	"Sumter County, AL"	"01119"			14562
	"Female"	"F"	"Talladega County, AL"	"01121"	"2011"	"2011"	42063
	"Female"	"F"	"Talladega County, AL"	"01121"	"2015"	"2015"	41868
"Total"	"Female"	"F"	"Talladega County, AL"	"01121"			83931
	"Female"	"F"	"Tallapoosa County, AL"	"01123"	"2011"	"2011"	21298
	"Female"	"F"	"Tallapoosa County, AL"	"01123"	"2015"	"2015"	20866
"Total"	"Female"	"F"	"Tallapoosa County, AL"	"01123"			42164
	"Female"	"F"	"Tuscaloosa County, AL"	"01125"	"2011"	"2011"	101488
	"Female"	"F"	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	105938
"Total"	"Female"	"F"	"Tuscaloosa County, AL"	"01125"			207426
	"Female"	"F"	"Walker County, AL"	"01127"	"2011"	"2011"	34113
	"Female"	"F"	"Walker County, AL"	"01127"	"2015"	"2015"	33299
"Total"	"Female"	"F"	"Walker County, AL"	"01127"			67412
	"Female"	"F"	"Washington County, AL"	"01129"	"2011"	"2011"	8831
	"Female"	"F"	"Washington County, AL"	"01129"	"2015"	"2015"	8617
"Total"	"Female"	"F"	"Washington County, AL"	"01129"			17448
	"Female"	"F"	"Wilcox County, AL"	"01131"	"2011"	"2011"	6032
	"Female"	"F"	"Wilcox County, AL"	"01131"	"2015"	"2015"	5708
"Total"	"Female"	"F"	"Wilcox County, AL"	"01131"			11740
	"Female"	"F"	"Winston County, AL"	"01133"	"2011"	"2011"	12373
	"Female"	"F"	"Winston County, AL"	"01133"	"2015"	"2015"	12124
"Total"	"Female"	"F"	"Winston County, AL"	"01133"			24497
	"Female"	"F"	"Aleutians East Borough, AK"	"02013"	"2011"	"2011"	1037
	"Female"	"F"	"Aleutians East Borough, AK"	"02013"	"2015"	"2015"	1102
"Total"	"Female"	"F"	"Aleutians East Borough, AK"	"02013"			2139
	"Female"	"F"	"Aleutians West Census Area, AK"	"02016"	"2011"	"2011"	1813
	"Female"	"F"	"Aleutians West Census Area, AK"	"02016"	"2015"	"2015"	1934
"Total"	"Female"	"F"	"Aleutians West Census Area, AK"	"02016"			3747
	"Female"	"F"	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	145412
	"Female"	"F"	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	145567
"Total"	"Female"	"F"	"Anchorage Borough, AK"	"02020"			290979
	"Female"	"F"	"Bethel Census Area, AK"	"02050"	"2011"	"2011"	8339
	"Female"	"F"	"Bethel Census Area, AK"	"02050"	"2015"	"2015"	8651
"Total"	"Female"	"F"	"Bethel Census Area, AK"	"02050"			16990
	"Female"	"F"	"Bristol Bay Borough, AK"	"02060"	"2011"	"2011"	471
	"Female"	"F"	"Bristol Bay Borough, AK"	"02060"	"2015"	"2015"	419
"Total"	"Female"	"F"	"Bristol Bay Borough, AK"	"02060"			890
	"Female"	"F"	"Denali Borough, AK"	"02068"	"2011"	"2011"	851
	"Female"	"F"	"Denali Borough, AK"	"02068"	"2015"	"2015"	862
"Total"	"Female"	"F"	"Denali Borough, AK"	"02068"			1713
	"Female"	"F"	"Dillingham Census Area, AK"	"02070"	"2011"	"2011"	2388
	"Female"	"F"	"Dillingham Census Area, AK"	"02070"	"2015"	"2015"	2442
"Total"	"Female"	"F"	"Dillingham Census Area, AK"	"02070"			4830
	"Female"	"F"	"Fairbanks North Star Borough, AK"	"02090"	"2011"	"2011"	46676
	"Female"	"F"	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	45732
"Total"	"Female"	"F"	"Fairbanks North Star Borough, AK"	"02090"			92408
	"Female"	"F"	"Haines Borough, AK"	"02100"	"2011"	"2011"	1272
	"Female"	"F"	"Haines Borough, AK"	"02100"	"2015"	"2015"	1279
"Total"	"Female"	"F"	"Haines Borough, AK"	"02100"			2551
	"Female"	"F"	"Hoonah-Angoon Census Area, AK"	"02105"	"2011"	"2011"	962
	"Female"	"F"	"Hoonah-Angoon Census Area, AK"	"02105"	"2015"	"2015"	1010
"Total"	"Female"	"F"	"Hoonah-Angoon Census Area, AK"	"02105"			1972
	"Female"	"F"	"Juneau Borough, AK"	"02110"	"2011"	"2011"	15776
	"Female"	"F"	"Juneau Borough, AK"	"02110"	"2015"	"2015"	15992
"Total"	"Female"	"F"	"Juneau Borough, AK"	"02110"			31768
	"Female"	"F"	"Kenai Peninsula Borough, AK"	"02122"	"2011"	"2011"	26797
	"Female"	"F"	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	27637
"Total"	"Female"	"F"	"Kenai Peninsula Borough, AK"	"02122"			54434
	"Female"	"F"	"Ketchikan Gateway Borough, AK"	"02130"	"2011"	"2011"	6650
	"Female"	"F"	"Ketchikan Gateway Borough, AK"	"02130"	"2015"	"2015"	6652
"Total"	"Female"	"F"	"Ketchikan Gateway Borough, AK"	"02130"			13302
	"Female"	"F"	"Kodiak Island Borough, AK"	"02150"	"2011"	"2011"	6444
	"Female"	"F"	"Kodiak Island Borough, AK"	"02150"	"2015"	"2015"	6443
"Total"	"Female"	"F"	"Kodiak Island Borough, AK"	"02150"			12887
	"Female"	"F"	"Kusilvak Census Area, AK"	"02158"	"2011"	"2011"	3619
	"Female"	"F"	"Kusilvak Census Area, AK"	"02158"	"2015"	"2015"	3896
"Total"	"Female"	"F"	"Kusilvak Census Area, AK"	"02158"			7515
	"Female"	"F"	"Lake and Peninsula Borough, AK"	"02164"	"2011"	"2011"	775
	"Female"	"F"	"Lake and Peninsula Borough, AK"	"02164"	"2015"	"2015"	770
"Total"	"Female"	"F"	"Lake and Peninsula Borough, AK"	"02164"			1545
	"Female"	"F"	"Matanuska-Susitna Borough, AK"	"02170"	"2011"	"2011"	44297
	"Female"	"F"	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	48140
"Total"	"Female"	"F"	"Matanuska-Susitna Borough, AK"	"02170"			92437
	"Female"	"F"	"Nome Census Area, AK"	"02180"	"2011"	"2011"	4562
	"Female"	"F"	"Nome Census Area, AK"	"02180"	"2015"	"2015"	4654
"Total"	"Female"	"F"	"Nome Census Area, AK"	"02180"			9216
	"Female"	"F"	"North Slope Borough, AK"	"02185"	"2011"	"2011"	3589
	"Female"	"F"	"North Slope Borough, AK"	"02185"	"2015"	"2015"	3724
"Total"	"Female"	"F"	"North Slope Borough, AK"	"02185"			7313
	"Female"	"F"	"Northwest Arctic Borough, AK"	"02188"	"2011"	"2011"	3549
	"Female"	"F"	"Northwest Arctic Borough, AK"	"02188"	"2015"	"2015"	3587
"Total"	"Female"	"F"	"Northwest Arctic Borough, AK"	"02188"			7136
	"Female"	"F"	"Petersburg Borough/Census Area, AK"	"02195"	"2011"	"2011"	1588
	"Female"	"F"	"Petersburg Borough/Census Area, AK"	"02195"	"2015"	"2015"	1544
"Total"	"Female"	"F"	"Petersburg Borough/Census Area, AK"	"02195"			3132
	"Female"	"F"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2011"	"2011"	2879
	"Female"	"F"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2015"	"2015"	2941
"Total"	"Female"	"F"	"Prince of Wales-Hyder Census Area, AK"	"02198"			5820
	"Female"	"F"	"Sitka Borough, AK"	"02220"	"2011"	"2011"	4393
	"Female"	"F"	"Sitka Borough, AK"	"02220"	"2015"	"2015"	4311
"Total"	"Female"	"F"	"Sitka Borough, AK"	"02220"			8704
	"Female"	"F"	"Skagway Municipality, AK"	"02230"	"2011"	"2011"	454
	"Female"	"F"	"Skagway Municipality, AK"	"02230"	"2015"	"2015"	516
"Total"	"Female"	"F"	"Skagway Municipality, AK"	"02230"			970
	"Female"	"F"	"Southeast Fairbanks Census Area, AK"	"02240"	"2011"	"2011"	3198
	"Female"	"F"	"Southeast Fairbanks Census Area, AK"	"02240"	"2015"	"2015"	3029
"Total"	"Female"	"F"	"Southeast Fairbanks Census Area, AK"	"02240"			6227
	"Female"	"F"	"Valdez-Cordova Census Area, AK"	"02261"	"2011"	"2011"	4546
	"Female"	"F"	"Valdez-Cordova Census Area, AK"	"02261"	"2015"	"2015"	4405
"Total"	"Female"	"F"	"Valdez-Cordova Census Area, AK"	"02261"			8951
	"Female"	"F"	"Wrangell City and Borough, AK"	"02275"	"2011"	"2011"	1136
	"Female"	"F"	"Wrangell City and Borough, AK"	"02275"	"2015"	"2015"	1188
"Total"	"Female"	"F"	"Wrangell City and Borough, AK"	"02275"			2324
	"Female"	"F"	"Yakutat Borough, AK"	"02282"	"2011"	"2011"	291
	"Female"	"F"	"Yakutat Borough, AK"	"02282"	"2015"	"2015"	276
"Total"	"Female"	"F"	"Yakutat Borough, AK"	"02282"			567
	"Female"	"F"	"Yukon-Koyukuk Census Area, AK"	"02290"	"2011"	"2011"	2563
	"Female"	"F"	"Yukon-Koyukuk Census Area, AK"	"02290"	"2015"	"2015"	2555
"Total"	"Female"	"F"	"Yukon-Koyukuk Census Area, AK"	"02290"			5118
	"Female"	"F"	"Apache County, AZ"	"04001"	"2011"	"2011"	36271
	"Female"	"F"	"Apache County, AZ"	"04001"	"2015"	"2015"	35855
"Total"	"Female"	"F"	"Apache County, AZ"	"04001"			72126
